               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  67,            0.028519,            0.016106,            0.007702,             0.94605,             0.95761,             0.97292,             0.71592,            0.023535,           0.0055802,           0.0019305,            0.005644,            0.005644,            0.005644
                  68,            0.028451,            0.015979,            0.007487,             0.94253,             0.96292,             0.97529,             0.71885,            0.023622,           0.0055476,           0.0017934,            0.005578,            0.005578,            0.005578
                  69,            0.028219,            0.015912,           0.0076437,             0.94132,              0.9628,             0.97535,             0.72156,            0.023355,           0.0055387,           0.0016678,            0.005512,            0.005512,            0.005512
                  70,            0.028188,            0.015979,           0.0074076,             0.94365,             0.96133,             0.97533,             0.72098,            0.023065,           0.0055027,           0.0017036,            0.005446,            0.005446,            0.005446
                  71,            0.028098,            0.015899,           0.0074674,             0.94185,             0.96659,             0.97634,             0.72423,            0.022924,           0.0054739,           0.0016602,             0.00538,             0.00538,             0.00538
                  72,            0.027908,            0.015931,           0.0073357,             0.94323,             0.96497,             0.97619,              0.7233,            0.023049,              0.0055,           0.0018793,            0.005314,            0.005314,            0.005314
                  73,            0.027904,            0.015867,           0.0072005,              0.9399,             0.96584,              0.9754,             0.72437,            0.022976,           0.0054501,           0.0017153,            0.005248,            0.005248,            0.005248
                  74,            0.027655,            0.015722,           0.0070994,             0.94318,             0.96562,             0.97541,             0.72656,             0.02276,           0.0054233,            0.001667,            0.005182,            0.005182,            0.005182
                  75,             0.02778,            0.015788,           0.0069803,             0.93757,             0.96814,             0.97531,             0.72652,            0.022843,           0.0054554,           0.0016596,            0.005116,            0.005116,            0.005116
                  76,            0.027579,            0.015688,            0.007088,             0.94157,             0.96772,             0.97728,             0.72754,            0.022932,           0.0054651,           0.0017747,             0.00505,             0.00505,             0.00505
                  77,            0.027598,            0.015725,           0.0071035,             0.94381,             0.96201,             0.97573,             0.72755,            0.022878,           0.0054765,           0.0016365,            0.004984,            0.004984,            0.004984
                  78,            0.027443,            0.015535,           0.0070213,              0.9464,             0.96128,             0.97513,             0.72904,            0.022745,           0.0054489,           0.0016224,            0.004918,            0.004918,            0.004918
                  79,            0.027315,            0.015548,           0.0068794,             0.94715,             0.96187,             0.97502,             0.72831,            0.022873,           0.0054507,           0.0017355,            0.004852,            0.004852,            0.004852
                  80,            0.027149,            0.015503,           0.0067672,             0.94752,             0.96345,             0.97617,             0.73023,            0.022785,           0.0054348,           0.0017433,            0.004786,            0.004786,            0.004786
                  81,            0.027148,            0.015417,           0.0068831,             0.94358,             0.96433,              0.9758,              0.7322,            0.022676,           0.0054328,           0.0016454,             0.00472,             0.00472,             0.00472
